address,total_supply,volume_24h,total_volume,market_cap,market_cap_change_24h,creator_earnings,days_since_created,unique_holders,transfers,comments_sentimental_score,roi
0xc7efbf6ebf84a578e1ddf3fbfdeccf9b6b6eb69d,1000000000,618.56,618.56,3803.1,3803.097503,0.052932308,0,13,47,0,0.367867063
0xdf694bc082ae89389cad7648bd759e70cd053fab,1000000000,0,918.23,3512.81,3515.86,0.014339564,8,51,183,0,0.481412162
0x91039e5df5b797068fa28ae135da65dad63ae262,1000000000,1031.47,1031.47,3506.64,3506.636416,0.002018178,0,24,121,0.464671771,83.23904197
0x308f4ee23c0f407e896555d0ec04bd6d2ce58e2a,1000000000,5386.25,5386.25,3488.05,3488.04629,0.009882013,0,44,215,0,0.007343585
0x3100f2887f10c1dddf62fb9b2586a33142586e79,1000000000,275.96,275.96,29.03,3452.928506,0.001484986,0,3,29,0,0.420471937
0x03b411245dda235b48b416380ca08831ad698de1,1000000000,417.06,417.06,3429.29,3447.002095,0.028139917,0,2804,2899,0.430576116,0.02524281
0x87bd3bd342beb651c39874cae6dbfa9e8ea31fa4,1000000000,4850.62,4850.62,3428.1,3428.096612,0.014945726,0,71,420,0.402017675,0.046730309
0xa96c045af06f4bc5d5965725bfd8ad1c88344546,1000000000,1063.85,1063.85,52.24,3402.831652,0.005623522,0,9,80,0,0.000394267
0x38b72285e79fbf6e82e26d4808fa8e6159d3609b,1000000000,8693.45,8693.45,3367.65,3367.652804,0.019020968,0,163,968,0.39803236,0.004631022
0xf7847c9c10c052088f15c7fd52f217d3b71b8c61,1000000000,190.8,190.8,3318.34,3318.340363,0.000329408,0,11,43,0,0.154836144
0x1db8faaf3c66ff1e3b135557f4d2e6ce8b2a78f1,1000000000,125.22,125.22,3315.85,3309.446243,0,0,5,46,0,-0.023656993
0x62460ddf0dcbabbb91ab2af6787530a59a5ce70d,1000000000,170.02,170.02,329.75,3297.11615,0.000307225,0,3,17,0,0.015115121
0x851e53b89704e0e1d433b1145c1dacd03e5149f5,1000000000,0,0,3288.47,3288.47031,0.0004975,0,3,13,0,0.367867063
0x5a1a5683bd02d9da872896dccfb06fe082fe4256,1000000000,581.08,581.08,1891.65,3276.932107,0.02400789,0,9,53,0,0.038215271
0xd607982c56629eee4353940d6f4c29c300b64200,1000000000,337.79,337.79,2242.39,3230.005125,0.021486756,0,7,25,0,-0.143382138
0xa178e512838d6f9bfde52152de75be9c5964d6c0,1000000000,154.56,154.56,3147.75,3147.750539,0.000320579,0,2,13,0,0.019486984
0x579559f5932bc32bf09d907a81c6001ecd4c812d,1000000000,142.45,142.45,2968.29,2968.287379,0.0002985,0,0,14,0,0.036179667
0xe777a631e0b3af4c3e3abbfb07fadea2c5489fcb,1000000000,108.32,108.32,21.66,2449.615034,0.000346477,0,5,28,0,0.17957963
0x4656e19cb7f2c60658448be5e1d7b5f356c89c6d,1000000000,73.18,73.18,2310.26,2310.256262,0.000281918,0,26,52,0.441309437,-0.817939145
0x932b9a4ef9da9f77ca352523e99b76dc9bc1e255,1000000000,56.09,56.09,168.09,2297.41738,0.004739564,0,4,112,0,0.026228273
0x45e21b33cf3782c8b3435990a48d16e77a155713,1000000000,91.97,91.97,258.06,2295.172448,0,0,11,112,0,0.023762857
0x6a47039fb4169ae38a4b15b427a18b3cd6c76b98,1000000000,164.6,164.6,21.75,2291.066,0.000638571,0,4,45,0,0.069235256
0xc64575f390ec07a982d5b258eb1d3ce1c36662de,1000000000,97.56,97.56,2209.98,2209.978327,0.000327385,0,36,77,0.557417214,0.037034999
0x97bb55febddf3785cda8b5caebd0e7b4a6b0f037,1000000000,0.03,0.03,2011.88,2166.759255,1.49E-07,40,2,4,0,0.045700367
0xb784c9f418749d1766a28f93a793ba11ff7432fe,1000000000,148.53,148.53,21.86,2162.466254,0.000579169,0,4,45,0,0.029651109
0x5dba920f4a14ad89396cd0ed8a3515c177f657fb,1000000000,102.14,102.14,2157.47,2154.014458,0.000309704,0,39,214,0,0.036742369
0x2826ea88ff6a6147f4fdd9ccd7d714fbdddc323f,1000000000,0,0,2020.08,2148.98,9.95E-09,40,2,4,0,-0.143430249
0xc0a7775803ae431fd9a67df53e64deb71d671b08,1000000000,0,0,2027.76,2148.786498,9.95E-09,40,0,4,0,0.019932221
0xa16847b1c30e64533a2b0cdd380600943dc06b21,1000000000,0.02,0.02,2026.85,2144.992358,9.95E-08,40,2,4,0,-0.159525494
0xa81741f0600a8d78d3f89e6a474ede5f703e549b,1000000000,0.03,0.03,2033.82,2139.169701,1.50E-07,40,2,4,0,-0.010606088
0x568ef00cb425e388ef5f448aa7c8db5aecf8b7b6,1000000000,0,0,1979.59,2102.993325,9.95E-09,37,2,4,0,-0.022972033
0xe6d047aae45d2140a1f72171f2c13b56917d640d,1000000000,0.24,0.24,1977.33,2101.695031,1.10E-06,37,2,4,0,0.067105346
0x643d71c8812d6023aaa6c41e7ef7c7fa9ede289a,1000000000,0,0,1976.36,2101.289394,9.95E-09,37,2,4,0,-0.134806028
0x9d1e5abdf76603f3c97b8d78dbeb1736e5782992,1000000000,0,0,1979.93,2101.133658,9.95E-09,37,2,4,0,0.052917303
0x7951f12cc50ef570f2abc31fe922d17c0ac0133b,1000000000,0.02,0.02,1980.99,2101.047703,9.95E-08,37,2,4,0,0.022510255
0x2b147d436e88caffb873a460ff99ed1859ce4284,1000000000,0.02,0.02,1980.99,2100.009727,9.95E-08,37,2,4,0,0.061906603
0x1fc57f0a9b212174a5474f7e4ffd3f50553a14b2,1000000000,0,0,1976.68,2098.13209,9.95E-09,37,2,4,0,-0.00639341
0xd8339a17d23be769e92e15c4721715455954ee86,1000000000,0.04,0.04,1975.82,2098.093636,1.99E-07,37,2,4,0,-0.040279342
0x399bd51a0852f7295619a7bcdfc47c1a017ddf41,1000000000,0,0,1974.39,2097.911057,9.95E-09,37,2,4,0,0.028401505
0x1638d7f9f2d95f543d8feb48a3aab0ef0b71c4c4,1000000000,0,0,2048.46,2093.460636,9.95E-09,37,2,4,0,0.033270065
0x6efffbff989dad32f58efaf110be4fc72b20ba4c,1000000000,2.15,2.15,1992.09,2091.011011,9.95E-06,37,2,4,0,-0.133930131
0xb328e3774d627ca6918b59e7f9942aca197df889,1000000000,0.33,0.33,2014.58,2090.694146,1.49E-06,37,1,4,0,-0.131813013
0x32ecd72f318ae17c1652a425fa0788458775dc90,1000000000,0,0,1979.63,2090.643802,9.95E-09,37,2,4,0,0.00862658
0x04118d0e2e0f8de387579b2ee91d8b9022c52e8d,1000000000,0.22,0.22,2014.27,2090.466771,9.95E-07,37,2,4,0,-0.133930131
0xe6af1d2254dfc0d2e9e4d73b90155de6b81f3dc5,1000000000,0,0,1979.76,2090.367858,2.98E-09,37,2,4,0,0.01149701
0xc70d7a3c84a621ea7506c096a9d7ab1fbf36e9b9,1000000000,2.2,2.2,2038.69,2090.055696,9.95E-06,37,0,4,0,0.052917303
0x622492c4a7566069f9e86b0b117dcdffa81d9226,1000000000,2.13,2.13,1980.3,2090.047612,9.95E-06,37,2,4,0,0.020398318
0x646ff5ba3ca01d7279e9ecb26e840bcc69163a26,1000000000,0,0,1985.33,2089.735757,1.09E-09,37,2,4,0,-0.008456034
0x88fa54636ad78a5707ed195470e66b05e4d54a49,1000000000,0,0,2021.94,2089.703749,9.95E-09,37,2,4,0,0.046061581
0x75a4147bccf973d4e07f7141e3e1063e09231ad3,1000000000,0.24,0.24,1985.81,2089.529608,1.10E-06,37,2,4,0,0.036179667
0x766cd43d0e37b44781d11a8aa2ae190560c01642,1000000000,0.02,0.02,2014.14,2089.120785,9.95E-08,37,2,4,0,-0.044827643
0x76334a6618d93a46c7bf8afe612690fdfe899c61,1000000000,0.44,0.44,2033.23,2089.008389,1.99E-06,37,2,4,0,0.061906603
0x839b742bb949a52d19e5a7a157b94942275b517a,1000000000,0.22,0.22,2043.07,2088.775524,9.95E-07,37,2,4,0,-0.006843834
0xc5f22497ae7a43156148dae277afbb85130827a2,1000000000,0.04,0.04,2018.76,2088.422479,1.69E-07,37,2,4,0,0.481412162
0xe32204cff5522cfe126adb0d76262022b9b1c81e,1000000000,0,0,2017.79,2088.354226,1.99E-08,37,2,4,0,0.033270065
0x98e8f8d5ba2418a1f98bf529ac691d7aa298ef5c,1000000000,0.01,0.01,1980.12,2088.273926,2.98E-08,37,0,4,0,-0.143382138
0xcf5b3e3f2b2ca9b5005e16956aa8cc8e145e94e4,1000000000,0.01,0.01,1993.45,2088.161499,6.87E-08,37,2,4,0,0.029573116
0xb009d6389ab13b536fa0ad75f1afde421ba539b4,1000000000,0.02,0.02,1975.39,2087.990923,9.95E-08,37,2,4,0,0.023140337
